No,Company name,Address
1,"Pahtama Group Co., Ltd.","Pahtama Group Co., Ltd.
No. 39/A, Shwe Pinlon Housing, Bayintnaung Street, (27) Ward,
Dagon Myothit (North), Yangon Region,MYANMAR 11421"
2,"REACH CO,LTD","Reach Co., Ltd.
NO. 39/A,, BAYINT NAUNG STREET, (27) WARD, SHWE
PINLON HOUSING, NORTH DAGON TOWNSHIP, Yangon
Region,MYANMAR"
3,"Multi-Resources Co.,Ltd.","Multi-Resources Co.,Ltd.
No.(231/232), Pyay Road, Sanchaung, Yangon
Region,MYANMAR 11111"
4,CM FOODS COMPANY LIMITED.,"CM FOODS COMPANY LIMITED.
No. 1-11, 2nd Floor, Padonmar Stadium (East Wing), BargayarRoad, Sanchaung , Yangon Region,MYANMAR 11111"
5,CITY FAMILY PROPERTIES COMPANY LIMITED,"CITY FAMILY PROPERTIES COMPANY LIMITED
No. (73-76), Waizayandar Road, Thingangyun Township, Yangon
Region,MYANMAR 11071"
6,KYAW LOGISTICS MYAWADDY COMPANY LIMITED,"KYAW LOGISTICS MYAWADDY COMPANY LIMITED.
No.(A-08), Within Myawaddy Trade Zone, Asia Hiway Road,
Myawaddy, Myawaddy Township, Kayin State,MYANMAR"
7,SU SHWE YI COMPANY LIMITED.,"SU SHWE YI COMPANY LIMITED.
No.(A/42), Bayintnaung Main Road, Myawaddy Township,
Kayin State,MYANMAR"
8,ARCTIC SUN COMPANY LIMITED,"ARCTIC SUN COMPANY LIMITED
No. (106/C), Mya Ayar Street, Industry Zone (1), Tharkayta
Township, Yangon Region,MYANMAR
"
9,COMMERCE ACE COMPANY LIMITED,"COMMERCE ACE COMPANY LIMITED
NO.(39/A),BAYINTNAUNG STREET,(27)WARD,
SHWE PINLON HOUSING,NORTH DAGON TOWNSHIP,
SOUTH DISTRICT,YANGON REGION,MYANMAR."
10,STELLAR VISION COMPANY LIMITED,"STELLAR VISION COMPANY LIMITED
NO.39/A,, BAYINT NAUNG STREET, SHWE PINLON
HOUSING, (27) WARD, NORTH DAGON TOWNSHIP,
Yangon Region,MYANMAR"
11,"Apex World International Co., Ltd.","Apex World International Co., Ltd.
No,(119), (92) Street, Kantawkalay, Mingalar Taung NyuntTownship, Yangon Region,MYANMAR 13051"
12,WATERFRONT TRADING COMPANY LIMITED,"WATERFRONT TRADING COMPANY LIMITED
5TH FLOOR, ROYAL WHITE ELEPHANT BUSINESSCENTER, NO.11, KAN STREET, HLAING TOWNSHIP,Yangon Region,MYANMAR 11051"
