No.,Importer Name,Principal ,Brand Name,SAP Code,SAP Description,Product Code,IR Description ,Pack Size,Manufacturer Name,Manufacturer Address,Country of Origin,IR Number,Issued Date ,Valid Date,"IR Status
(Active/Inactive)","Renewal
Plan (Days)",To Start Renewal Timeline,"Application Status
(New/Renewal)",Application Number,Application Date,Approval Status,"Product Status 
(Active/Discon)",List Number,Remark
1,"Pahtama Group Co., Ltd",Abbott,Similac Total Comfort,0210131001,Similac Total Comfort Stage 3 820g,ES165855078130190,Formulated Supplementary Food for Children (For 2 Years and Above),820g/Can,Abbott Laboratories S.A,"Camino de Purchil , 68 , 18004, Granada , Spain",Spain,IR-F/2023-NPW/002634 ,10-Nov-23,10-Nov-26,Active,360,15-Nov-25,,,,Approved,Plant to discon,,
2,"Pahtama Group Co., Ltd",Abbott,Similac Total Comfort,0210132001,Similac Total Comfort Stage 3 30.8g,ES165855078130191,Formulated Supplementary Food for Children (For 2 Years and Above),30.8g/Multilayer Sachet,Abbott Laboratories S.A,"Camino de Purchil , 68 , 18004, Granada , Spain",Spain,IR-F/2023-NPW/002635,10-Nov-23,10-Nov-26,Active,360,15-Nov-25,,,,Approved,Plant to discon,,
3,"Pahtama Group Co., Ltd",Abbott,Similac Total Comfort,0210111001,Similac Total Comfort Stage 2 360g,ES165855078130192,Formulated Supplementary Food for Children (For 1 - 2 Years),360g/Can,Abbott Laboratories S.A,"Camino de Purchil , 68 , 18004, Granada , Spain",Spain,IR-F/2023-NPW/002636,10-Nov-23,10-Nov-26,Active,360,15-Nov-25,,,,Approved,Plant to discon,,
4,"Pahtama Group Co., Ltd",Abbott,Similac Total Comfort,0210121001,Similac Total Comfort Stage 1 360g,ES165855078130193,Formulated Supplementary Food for Infant and Young Children (For 0 - 12 Months),360g/Can,Abbott Laboratories S.A,"Camino de Purchil , 68 , 18004, Granada , Spain",Spain,IR-F/2023-NPW/002637 ,10-Nov-23,10-Nov-26,Active,360,15-Nov-25,,,,Approved,Plant to discon,,
5,"Pahtama Group Co., Ltd",Abbott,Similac Neosure,0208141003,Similac Neosure HMO,ES165855078130209,Formulated Milk Powder (for Premature and Low Birth Weight 0-12 Months),850g/Can,Abbott Laboratories S.A,"Camino de Purchil , 68 , 18004, Granada , Spain",Spain,IR-F/2024-NPW/000491,13-Mar-24,13-Mar-27,Active,360,18-Mar-26,,,,Approved,Plant to discon,,
6,"Pahtama Group Co., Ltd",Abbott,Similac Mum,0208132002,Similac Mum Eye-Q(IQ) Vanilla Sachet 36.5gm ,SG165855078130203,Food for Special Dietary Use (For Pregnant & Breastfeeding Mothers) (Vanilla Flavor),36.5g/Multilayer Sachet,Abbott Manufacturing Singapore Private Limited,"26 , Tuas South Avenue 10 , 637437 , Singapore",Singapore,IR-F/2024-NPW/000176,22-Jan-24,22-Jan-27,Active,360,27-Jan-26,,,,Approved,Active,,IR description will be change (label need to revise when IR renewal)
7,"Pahtama Group Co., Ltd",Abbott,Similac Mum,0208132003,Similac Mum Eye-Q(IQ) Strawberry Yoghurt Sachet 36.5g ,SG165855078130202,Food for Special Dietary Use (For Pregnant & Breastfeeding Mothers) (Strawberry Yoghurt Flavor),36.5g/Multilayer Sachet,Abbott Manufacturing Singapore Private Limited,"26 , Tuas South Avenue 10 , 637437 , Singapore",Singapore,IR-F/2024-NPW/000175,22-Jan-24,22-Jan-27,Active,360,27-Jan-26,,,,Approved,Plant to discon,,IR description will be change (label need to revise when IR renewal)
8,"Pahtama Group Co., Ltd",Abbott,Similac Mum,0208131003,Similac Mum Eye-Q(IQ) Vanilla 400g ,SG165855078130201,Food for Special Dietary Use (For Pregnant & Breastfeeding Mothers) (Vanilla Flavor),400g/Can,Abbott Manufacturing Singapore Private Limited,"26 , Tuas South Avenue 10 , 637437 , Singapore",Singapore,IR-F/2024-NPW/000174,22-Jan-24,22-Jan-27,Active,360,27-Jan-26,,,,Approved,Active,,IR description will be change (label need to revise when IR renewal)
9,"Pahtama Group Co., Ltd",Abbott,Similac Mum,0208131004,Similac Mum Eye-Q(IQ) Strawberry Yoghurt 400g ,SG165855078130200,Food for Special Dietary Use (For Pregnant & Breastfeeding Mothers) (Strawberry Yoghurt Flavor),400g/Can,Abbott Manufacturing Singapore Private Limited,"26 , Tuas South Avenue 10 , 637437 , Singapore",Singapore,IR-F/2024-NPW/000173,22-Jan-24,22-Jan-27,Active,360,27-Jan-26,,,,Approved,Plant to discon,,IR description will be change (label need to revise when IR renewal)
10,"Pahtama Group Co., Ltd",Abbott,Similac Gain IQ,0202112007,Similac Einstein,IE165855078130158,Formulated Milk Powder (For 2-3 Years Old) (New Formula with Prodi-G� and 5HMOs),31.2g/Multilayer Sachet,Abbott Ireland,"Dromore West , Cootehill , Co. Cavan , Ireland",Ireland,"IR-F/2022-NPW/
002655",02-Aug-22,02-Aug-25,Active,360,07-Aug-24,,,,Approved,Active,,
